consumer,budget,arm_weighted_certifiable_lower,pointwise_ci_low,pointwise_ci_high,simultaneous_low,simultaneous_high,repo_macro_certifiable_lower,row_weighted_certifiable_lower,row_weighted_procedural_upper
claude,0,0.30434782608695654,0.041666666666666664,0.625,0.0,0.6482213438735178,0.2916666666666667,0.30434782608695654,0.34782608695652173
claude,1,0.43478260869565216,0.13043478260869565,0.75,0.09090909090909088,0.7786561264822134,0.4166666666666667,0.43478260869565216,0.4782608695652174
claude,3,0.43478260869565216,0.13043478260869565,0.75,0.09090909090909088,0.7786561264822134,0.4166666666666667,0.43478260869565216,0.5
claude,6,0.43478260869565216,0.13043478260869565,0.75,0.09090909090909088,0.7786561264822134,0.4166666666666667,0.43478260869565216,0.5072463768115942
claude,10,0.43478260869565216,0.13043478260869565,0.75,0.09090909090909088,0.7786561264822134,0.4166666666666667,0.43478260869565216,0.4782608695652174
codex,0,0.30434782608695654,0.041666666666666664,0.625,0.0,0.6521739130434783,0.2916666666666667,0.30434782608695654,0.34782608695652173
codex,1,0.4492753623188405,0.15151515151515152,0.782608695652174,0.10144927536231879,0.7971014492753623,0.4305555555555556,0.4492753623188406,0.4927536231884058
codex,3,0.5434782608695652,0.2391304347826087,0.8333333333333334,0.19565217391304346,0.8913043478260869,0.5208333333333334,0.5434782608695652,0.7101449275362319
codex,6,0.5652173913043478,0.2608695652173913,0.875,0.21739130434782605,0.9130434782608695,0.5416666666666666,0.5652173913043478,0.9347826086956522
codex,10,0.5652173913043478,0.2608695652173913,0.875,0.21739130434782605,0.9130434782608695,0.5416666666666666,0.5652173913043478,1.0
