consumer,repository,stratum,budget,strict_arm_mean,nominal_arm_mean
claude,Kinto/kinto,legacy_independent_budget_replication,0,0.0,0.0
claude,Kinto/kinto,legacy_independent_budget_replication,1,1.0,1.0
claude,Kinto/kinto,legacy_independent_budget_replication,3,1.0,1.0
claude,Kinto/kinto,legacy_independent_budget_replication,6,1.0,1.0
claude,Kinto/kinto,legacy_independent_budget_replication,10,1.0,1.0
claude,Python-Markdown/markdown,recovery_outcome_unopened,0,1.0,1.0
claude,Python-Markdown/markdown,recovery_outcome_unopened,1,1.0,1.0
claude,Python-Markdown/markdown,recovery_outcome_unopened,3,1.0,1.0
claude,Python-Markdown/markdown,recovery_outcome_unopened,6,1.0,1.0
claude,Python-Markdown/markdown,recovery_outcome_unopened,10,1.0,1.0
claude,ResearchObject/ro-crate-py,legacy_independent_budget_replication,0,0.0,0.0
claude,ResearchObject/ro-crate-py,legacy_independent_budget_replication,1,0.0,0.0
claude,ResearchObject/ro-crate-py,legacy_independent_budget_replication,3,0.0,0.0
claude,ResearchObject/ro-crate-py,legacy_independent_budget_replication,6,0.0,0.0
claude,ResearchObject/ro-crate-py,legacy_independent_budget_replication,10,0.0,0.0
claude,alteryx/woodwork,recovery_outcome_unopened,0,0.0,0.0
claude,alteryx/woodwork,recovery_outcome_unopened,1,0.0,0.0
claude,alteryx/woodwork,recovery_outcome_unopened,3,0.0,0.25
claude,alteryx/woodwork,recovery_outcome_unopened,6,0.0,0.25
claude,alteryx/woodwork,recovery_outcome_unopened,10,0.0,0.0
claude,cloudpipe/cloudpickle,recovery_outcome_unopened,0,0.0,0.0
claude,cloudpipe/cloudpickle,recovery_outcome_unopened,1,0.0,0.0
claude,cloudpipe/cloudpickle,recovery_outcome_unopened,3,0.0,0.0
claude,cloudpipe/cloudpickle,recovery_outcome_unopened,6,0.0,0.0
claude,cloudpipe/cloudpickle,recovery_outcome_unopened,10,0.0,0.0
claude,getmoto/moto,legacy_independent_budget_replication,0,1.0,1.0
claude,getmoto/moto,legacy_independent_budget_replication,1,1.0,1.0
claude,getmoto/moto,legacy_independent_budget_replication,3,1.0,1.0
claude,getmoto/moto,legacy_independent_budget_replication,6,1.0,1.0
claude,getmoto/moto,legacy_independent_budget_replication,10,1.0,1.0
claude,jsonpickle/jsonpickle,legacy_independent_budget_replication,0,0.0,0.0
claude,jsonpickle/jsonpickle,legacy_independent_budget_replication,1,0.0,0.0
claude,jsonpickle/jsonpickle,legacy_independent_budget_replication,3,0.0,0.0
claude,jsonpickle/jsonpickle,legacy_independent_budget_replication,6,0.0,0.05555555555555555
claude,jsonpickle/jsonpickle,legacy_independent_budget_replication,10,0.0,0.0
claude,pymodbus-dev/pymodbus,legacy_independent_budget_replication,0,0.3333333333333333,0.6666666666666666
claude,pymodbus-dev/pymodbus,legacy_independent_budget_replication,1,0.3333333333333333,0.6666666666666666
claude,pymodbus-dev/pymodbus,legacy_independent_budget_replication,3,0.3333333333333333,0.6666666666666666
claude,pymodbus-dev/pymodbus,legacy_independent_budget_replication,6,0.3333333333333333,0.6666666666666666
claude,pymodbus-dev/pymodbus,legacy_independent_budget_replication,10,0.3333333333333333,0.6666666666666666
codex,Kinto/kinto,legacy_independent_budget_replication,0,0.0,0.0
codex,Kinto/kinto,legacy_independent_budget_replication,1,1.0,1.0
codex,Kinto/kinto,legacy_independent_budget_replication,3,1.0,1.0
codex,Kinto/kinto,legacy_independent_budget_replication,6,1.0,1.0
codex,Kinto/kinto,legacy_independent_budget_replication,10,1.0,1.0
codex,Python-Markdown/markdown,recovery_outcome_unopened,0,1.0,1.0
codex,Python-Markdown/markdown,recovery_outcome_unopened,1,1.0,1.0
codex,Python-Markdown/markdown,recovery_outcome_unopened,3,1.0,1.0
codex,Python-Markdown/markdown,recovery_outcome_unopened,6,1.0,1.0
codex,Python-Markdown/markdown,recovery_outcome_unopened,10,1.0,1.0
codex,ResearchObject/ro-crate-py,legacy_independent_budget_replication,0,0.0,0.0
codex,ResearchObject/ro-crate-py,legacy_independent_budget_replication,1,0.1111111111111111,0.1111111111111111
codex,ResearchObject/ro-crate-py,legacy_independent_budget_replication,3,0.8333333333333334,0.8333333333333334
codex,ResearchObject/ro-crate-py,legacy_independent_budget_replication,6,1.0,1.0
codex,ResearchObject/ro-crate-py,legacy_independent_budget_replication,10,1.0,1.0
codex,alteryx/woodwork,recovery_outcome_unopened,0,0.0,0.0
codex,alteryx/woodwork,recovery_outcome_unopened,1,0.0,0.0
codex,alteryx/woodwork,recovery_outcome_unopened,3,0.0,0.9166666666666666
codex,alteryx/woodwork,recovery_outcome_unopened,6,0.0,1.0
codex,alteryx/woodwork,recovery_outcome_unopened,10,0.0,1.0
codex,cloudpipe/cloudpickle,recovery_outcome_unopened,0,0.0,0.0
codex,cloudpipe/cloudpickle,recovery_outcome_unopened,1,0.0,0.0
codex,cloudpipe/cloudpickle,recovery_outcome_unopened,3,0.0,0.0
codex,cloudpipe/cloudpickle,recovery_outcome_unopened,6,0.0,0.8333333333333334
codex,cloudpipe/cloudpickle,recovery_outcome_unopened,10,0.0,1.0
