repo,anchor_id,selected_state,shortest_state,historical_success,candidate_success,uniform_success,shortest_success,selected_success,selected_minus_uniform,selected_minus_shortest,selected_minus_historical,candidate_replay_failures
AgnostiqHQ/covalent,agnostiqhq__covalent-1287,historical,s1,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,2
amaranth-lang/amaranth,amaranth-lang__amaranth-1098,historical,historical,0.5,0.0,0.25,0.5,0.5,0.25,0.0,0.0,4
elastic/curator,elastic__curator-603,historical,historical,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,2
enthought/traits,enthought__traits-645,historical,historical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
kayak/pypika,kayak__pypika-127,s1,historical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MarketSquare/robotframework-robocop,marketsquare__robotframework-robocop-755,historical,historical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
mondeja/mkdocs-include-markdown-plugin,mondeja__mkdocs-include-markdown-plugin-2,historical,historical,1.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,4
OpenMDAO/OpenMDAO,openmdao__openmdao-3371,historical,historical,0.5,0.0,0.25,0.5,0.5,0.25,0.0,0.0,2
pybamm-team/PyBaMM,pybamm-team__pybamm-819,historical,s1,0.5,0.0,0.25,0.0,0.5,0.25,0.5,0.0,4
pytest-dev/pyfakefs,pytest-dev__pyfakefs-903,historical,historical,0.25,0.0,0.125,0.25,0.25,0.125,0.0,0.0,0
python-semver/python-semver,python-semver__python-semver-239,s1,s1,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0
quora/pyanalyze,quora__pyanalyze-344,historical,historical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
robotpy/cxxheaderparser,robotpy__cxxheaderparser-28,historical,historical,0.5,0.0,0.25,0.5,0.5,0.25,0.0,0.0,2
s-knibbs/dataclasses-jsonschema,s-knibbs__dataclasses-jsonschema-75,historical,historical,1.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,2
stac-utils/pystac,stac-utils__pystac-511,historical,historical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Textualize/rich,textualize__rich-2031,historical,historical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
yt-project/unyt,yt-project__unyt-58,historical,historical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
yukinarit/pyserde,yukinarit__pyserde-321,historical,historical,1.0,0.5,0.75,1.0,1.0,0.25,0.0,0.0,2
